atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2021-08-10,2021-08-12,0,0.053,0.053,0.055,0.053,0.055,1960000,106180,0.05417347,1.06,1.06,1.1,1.06,1.1,98000,1.08347,0
2021-08-09,2021-08-11,0,0.053,0.053,0.058,0.052,0.058,320000,17580,0.0549375,1.06,1.06,1.16,1.04,1.16,16000,1.09875,-0.01852
2021-08-06,2021-08-10,0,0.054,0.054,0.055,0.052,0.055,4920000,265600,0.05398374,1.08,1.08,1.1,1.04,1.1,246000,1.07967,0
2021-08-05,2021-08-09,0,0.054,0.053,0.055,0.052,0.054,1060000,56600,0.05339623,1.08,1.06,1.1,1.04,1.08,53000,1.06792,0.01887
2021-08-04,2021-08-06,0,0.053,0.053,0.055,0.052,0.054,6520000,348460,0.05344479,1.06,1.06,1.1,1.04,1.08,326000,1.0689,0
2021-08-03,2021-08-05,0,0.053,0.053,0.054,0.053,0.06,3460000,193260,0.05585549,1.06,1.06,1.08,1.06,1.2,173000,1.11711,-0.07018
2021-08-02,2021-08-04,0,0.057,0.053,0.057,0.052,0.06,4260000,230000,0.05399061,1.14,1.06,1.14,1.04,1.2,213000,1.07981,0.01786
2021-07-30,2021-08-03,0,0.056,0.054,0.058,0.053,0.064,6100000,358660,0.05879672,1.12,1.08,1.16,1.06,1.28,305000,1.17593,0.01818
2021-07-29,2021-08-02,0,0.055,0.05,0.055,0.048,0.056,2900000,145840,0.05028966,1.1,1,1.1,0.96,1.12,145000,1.00579,0
2021-07-28,2021-07-30,0,0.055,0.054,0.055,0.052,0.062,2880000,158180,0.05492361,1.1,1.08,1.1,1.04,1.24,144000,1.09847,-0.0678
2021-07-27,2021-07-29,0,0.059,0.055,0.059,0.055,0.066,39840000,2429980,0.06099347,1.18,1.1,1.18,1.1,1.32,1992000,1.21987,0.01724
2021-07-26,2021-07-28,0,0.058,0.056,0.058,0.049,0.059,51300000,2682500,0.05229045,1.16,1.12,1.16,0.98,1.18,2565000,1.04581,0.20833
2021-07-23,2021-07-27,0,0.048,0.045,0.049,0.044,0.048,2720000,128580,0.04727206,0.96,0.9,0.98,0.88,0.96,136000,0.94544,0.04348
2021-07-22,2021-07-26,0,0.046,0.043,0.046,0.044,0.047,2140000,97200,0.04542056,0.92,0.86,0.92,0.88,0.94,107000,0.90841,0.06977
2021-07-21,2021-07-23,0,0.043,0.043,0.044,0.041,0.045,1400000,59660,0.04261429,0.86,0.86,0.88,0.82,0.9,70000,0.85229,0.02381
2021-07-20,2021-07-22,0,0.042,0.042,0.043,0.041,0.042,240000,9860,0.04108333,0.84,0.84,0.86,0.82,0.84,12000,0.82167,-0.02326
2021-07-19,2021-07-21,0,0.043,0.043,0.044,0.04,0.045,5980000,251240,0.04201338,0.86,0.86,0.88,0.8,0.9,299000,0.84027,-0.04444
